Runner Name,Nationality,Image Url (flag),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Haron KEITANY,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,3:32.06,3:30.20,,,,,,,,,,
Mehdi BAALA,FRA,https://www.countryflags.io/FR/shiny/64.png,,3:32.03,3:28.98,,3:30.80,,3:31.01,3:32.00,3:30.96,,,,,,,,,,
Anter ZERGUELAINE,ALG,https://www.countryflags.io/DZ/shiny/64.png,,,,,3:31.95,,,,3:31.21,,,,,,,,,,
Yusuf Saad KAMEL,BRN,https://www.countryflags.io/BH/shiny/64.png,,,,,,,,,3:31.56,,,,,,,,,,
Tarek BOUKENSA,ALG,https://www.countryflags.io/DZ/shiny/64.png,,,,,,3:31.58,3:30.92,3:31.98,3:31.90,,,,,,,,,,
3:31.58,BRN,https://www.countryflags.io/BH/shiny/64.png,,,,,,,3:31.49,,3:32.10,,,,,,,,,,
Shadrack KORIR,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,3:31.18,3:31.94,,,,,,,,,,,
Alex KIPCHIRCHIR,KEN,https://www.countryflags.io/KE/shiny/64.png,,,3:31.42,3:30.46,3:30.82,3:31.36,,3:32.16,,,,,,,,,,,
Alan WEBB,USA,https://www.countryflags.io/US/shiny/64.png,,,,,,,3:30.54,,,,,,,,,,,,
Suleiman Kipses SIMOTWO,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,3:31.85,3:31.67,3:31.98,,,,,,,,,,,,
Youssef BABA,MAR,https://www.countryflags.io/MA/shiny/64.png,,,,,,,3:32.13,,,,,,,,,,,,
Juan Carlos HIGUERO,ESP,https://www.countryflags.io/ES/shiny/64.png,,,3:31.61,,,3:31.57,3:32.18,,,,,,,,,,,,
Rashid RAMZI,BRN,https://www.countryflags.io/BH/shiny/64.png,,,,3:30.25,3:30.00,3:29.14,,,,,,,,,,,,,
Bernard LAGAT,USA,https://www.countryflags.io/US/shiny/64.png,3:26.34,3:27.91,3:30.55,3:27.40,3:29.30,3:29.68,,,,,,,,,,,,,
Ivan HESHKO,UKR,https://www.countryflags.io/UA/shiny/64.png,,,,3:30.33,3:31.91,3:31.08,,,,,,,,,,,,,
Adil KAOUCH,MAR,https://www.countryflags.io/MA/shiny/64.png,,,,,,3:31.10,,,,,,,,,,,,,
Isaac Kiprono SONGOK,KEN,https://www.countryflags.io/KE/shiny/64.png,,,3:31.54,3:30.99,3:31.72,3:31.85,,,,,,,,,,,,,
Daham Najim BASHIR,QAT,https://www.countryflags.io/QA/shiny/64.png,,,,,3:31.04,,,,,,,,,,,,,,
Hicham EL GUERROUJ,MAR,https://www.countryflags.io/MA/shiny/64.png,3:26.12,3:26.89,3:28.40,3:27.64,,,,,,,,,,,,,,,
Timothy KIPTANUI,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,3:30.04,,,,,,,,,,,,,,,
Cornelius CHIRCHIR,KEN,https://www.countryflags.io/KE/shiny/64.png,,3:30.24,3:31.17,3:30.60,,,,,,,,,,,,,,,
Rui SILVA,POR,https://www.countryflags.io/PT/shiny/64.png,3:30.36,3:30.07,,3:30.90,,,,,,,,,,,,,,,
Paul KORIR,KEN,https://www.countryflags.io/KE/shiny/64.png,,,3:30.72,3:31.10,,,,,,,,,,,,,,,
Fouad CHOUKI,FRA,https://www.countryflags.io/FR/shiny/64.png,,,3:30.83,,,,,,,,,,,,,,,,
Robert RONO,KEN,https://www.countryflags.io/KE/shiny/64.png,3:31.49,3:30.99,3:31.33,,,,,,,,,,,,,,,,
William CHIRCHIR,KEN,https://www.countryflags.io/KE/shiny/64.png,3:29.29,3:30.88,,,,,,,,,,,,,,,,,
Driss MAAZOUZI,FRA,https://www.countryflags.io/FR/shiny/64.png,,3:31.45,,,,,,,,,,,,,,,,,
David KRUMMENACKER,USA,https://www.countryflags.io/US/shiny/64.png,,3:31.93,,,,,,,,,,,,,,,,,
Vyacheslav SHABUNIN,RUS,https://www.countryflags.io/RU/shiny/64.png,,3:32.37,,,,,,,,,,,,,,,,,
Ali SAIDI-SIEF,ALG,https://www.countryflags.io/DZ/shiny/64.png,3:29.51,,,,,,,,,,,,,,,,,,
Benjamin KIPKURUI,KEN,https://www.countryflags.io/KE/shiny/64.png,3:30.67,,,,,,,,,,,,,,,,,,
José Antonio REDOLAT,ESP,https://www.countryflags.io/ES/shiny/64.png,3:31.21,,,,,,,,,,,,,,,,,,
Enock KOECH,KEN,https://www.countryflags.io/KE/shiny/64.png,3:31.28,,,,,,,,,,,,,,,,,,
Laban ROTICH,KEN,https://www.countryflags.io/KE/shiny/64.png,3:31.38,,,,,,,,,,,,,,,,,,
